MOVIES,YEAR,GENRE,RATING,ONE-LINE,VOTES,RunTime,Gross,Extract_date,owner_company,nr_of_episodes,DIRECTOR,STARS-LIST
The Letdown,(2017– ),"
Comedy            ",7.5,"
Audrey is determined not to be defined by motherhood. In theory, this seems fairly easy. In practice, her career-focused husband, self-obsessed mother, and fancy-free best friend make it damn-near impossible.","2,908",30.0,,2020-02-04 09:28:16.747486694,	Warner Bros.  ,94.0,,"Stars:
Alison Bell, 
Duncan Fellows, 
Leon Ford, 
Sacha Horler"
Family Business,(2019– ),"
Comedy            ",7.4,"
Learning that cannabis will be legalized, Joseph, a failed entrepreneur, decides to transform, with the help of his family and friends, the kosher butcher shop of his father and open the first marijuana coffeeshop in France.","2,711",,,2020-02-04 09:53:58.083973980,Marvel Studios,134.0,,"Stars:
Jonathan Cohen, 
Gérard Darmon, 
Julia Piaton, 
Liliane Rovère"
Ibeon Saengeun Cheoeumira,(2017),"
Comedy, Drama, Romance            ",8.1,"
Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee.","3,166",70.0,,2020-02-04 10:19:39.420461265,20th Century Fox	,89.0,,"Stars:
Lee Min-ki, 
Jung So-Min, 
Esom, 
Byeong-eun Park"
Crip Camp,(2020),"
Documentary, History            ",7.7,"
Down the road from Woodstock, a revolution blossomed at a ramshackle summer camp for teenagers with disabilities, transforming their lives and igniting a landmark movement.","6,466",106.0,,2020-02-04 10:45:20.756948551,    RatPac-Dune Entertainment	,18.0,"Directors:
James Lebrecht, 
Nicole Newnham",
El marginal,(2016– ),"
Crime, Drama, Mystery            ",8.2,"
Pastor, an undercover cop sets on a mission to rescue the kidnapped daughter of a judge by infiltrating the prison where she's suspected to be at. Once inside he will have to learn to live by the prison's and the inmates' rules.","3,022",60.0,,2020-02-04 11:11:02.093435837,Universal Pictures	,39.0,,"Stars:
Martina Gusman, 
Gerardo Romano, 
Claudio Rissi, 
Nicolás Furtado"
Dogs,(2018– ),"
Documentary            ",8.1,"
Documentary series celebrating the deep emotional bonds between people and their beloved four-legged best friends.","1,151",50.0,,2020-02-04 11:36:43.429923122,20th Century Fox	,16.0,,"Stars:
Beth, 
Carly, 
Corinne"
Advokaten,(2018– ),"
Crime, Drama, Mystery            ",7.0,"
When Frank Nordling learns the truth about his parents' death, his world unravels. As he finds out, they were murdered by one of the leaders in Copenhagen's criminal underworld, Thomas Waldman, who happens to be his firm's biggest client.","1,393",45.0,,2020-02-04 12:02:24.766410408,Relativity Media,14.0,,"Stars:
Alexander Karim, 
Malin Buska, 
Thomas Bo Larsen, 
Nicolaj Kopernikus"
Ultraman,(2019– ),"
Animation, Action, Adventure            ",6.9,"
Shinjiro Hayata learns that his father passed on the ""Ultraman Factor"" to him and fights against evil.","1,688",25.0,,2020-02-04 12:28:06.102897694,    RatPac-Dune Entertainment	,118.0,,"Stars:
Ryohei Kimura, 
Josh Hutcherson, 
Takuya Eguchi, 
Megumi Han"
Pets United,(2019),"
Animation, Adventure, Comedy            ",3.8,"
A group of spoilt, selfish pets led by glamour cat Belle are stranded in their luxury hangout 'Pampered Pets,' when the machines that run Robo City, the hypermodern metropolis that they live in, go wild and take over.","2,200",89.0,,2020-02-04 12:53:47.439384979,Marvel Studios,23.0,"Director:
Reinhard Klooss",
Cat People,(2021– ),"
Documentary            ",6.2,"
CAT PEOPLE tells the stories of some of the most remarkable and surprising ""cat people"" in the world, defying negative stereotypes while revealing the truth of what it means to love such fiercely independent creatures.",152,,,2020-02-04 13:19:28.775872265,	Warner Bros.  ,76.0,,
Slumberland,(2022),"
Adventure, Comedy, Family            ",,"
A young girl searches for her missing father in a mystical dreamland with the help of a large half-man/half-monster creature.",,,,2020-02-04 13:45:10.112359550,	Warner Bros.  ,7.0,"Director:
Francis Lawrence",
Eastsiders,(2012– ),"
Drama            ",6.9,"
EastSiders is a two-time Daytime Emmy nominated series created by Kit Williamson starring Williamson and Van Hansis as a couple experiencing life and relationships in Silver Lake.","2,460",115.0,,2020-02-04 14:10:51.448846836,	Warner Bros.  ,135.0,,"Stars:
Kit Williamson, 
Van Hansis, 
Matthew McKelligon, 
John Halbach"
Heaven Official's Blessing,(2020– ),"
Animation            ",8.4,"
Eight hundred years ago, Xie Lian was the Crown Prince of the Xian Le kingdom. He was loved by his citizens and was considered the darling of the world. He ascended to the Heavens at a ...                See full summary »
",781,,,2020-02-04 14:36:32.785334122, Legendary Entertainment	,96.0,,"Star:
Guangtao Jiang"
Barbie Dreamhouse Adventures,(2018– ),"
Animation, Comedy, Family            ",6.8,"
Get to know Barbie and her BFFs -- including next-door neighbor Ken -- in this animated vlog of adventures filmed inside her family's new dreamhouse.",414,22.0,,2020-02-04 15:02:14.121821407,Universal Pictures	,44.0,,"Stars:
America Young, 
Cassidy Naber, 
Kirsten Day, 
Cassandra Lee Morris"
The Witcher: Blood Origin,,"
Action, Adventure, Fantasy            ",,"
Prequel to the Netflix series 'The Witcher', set in an elven world 1,200 years before the show, centering on the origins of the very first Witcher.",,,,2020-02-04 15:27:55.458308693,    RatPac-Dune Entertainment	,95.0,,"Stars:
Sophia Brown, 
Laurence O'Fuarain, 
Michelle Yeoh, 
Jon Prophet"
Extraction 2,,"
Action, Thriller            ",,"
Sequel to the 2020 action thriller 'Extraction'.",,,,2020-02-04 15:53:36.794795979,Marvel Studios,12.0,,"Star:
Chris Hemsworth"
Life's Too Short,(2011–2013),"
Comedy            ",7.5,"
The show centers on Warwick Davis in his day-to-day life, complete with the frustrations he faces.","14,912",30.0,,2020-02-04 16:19:18.131283264,  Paramount Pictures,21.0,,"Stars:
Warwick Davis, 
Ricky Gervais, 
Stephen Merchant, 
Rosamund Hanson"
Zero Chill,(2021– ),"
Comedy, Drama, Family            ",5.7,"
Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy.","1,108",,,2020-02-04 16:44:59.467770550,Universal Pictures	,116.0,,"Stars:
Grace Beedie, 
Dakota Taylor, 
Jeremias Amoore, 
Anastázie Chocholatá"
Shin'ya shokudô: Tokyo Stories,(2016–2019),"
Drama            ",8.4,"
An anthology of human relationship stories connected by the only open in the wee hours diner the characters frequent. Resolutions are often facilitated by the owner/chef.","3,713",24.0,,2020-02-04 17:10:40.804257836,    RatPac-Dune Entertainment	,46.0,,"Stars:
Kaoru Kobayashi, 
Mansaku Fuwa, 
Asako Kobayashi, 
Joe Odagiri"
Une chance de trop,(2015– ),"
Drama, Thriller            ",7.2,"
A doctor is shot in the back in her home, her husband is murdered and her infant daughter kidnapped. Faced with inept police, who at times suspect her, she begins her own hunt for her baby and the culprits.","1,198",52.0,,2020-02-04 17:36:22.140745121,   Walt Disney Pictures	,5.0,,"Stars:
Alexandra Lamy, 
Pascal Elbé, 
Lionel Abelanski, 
Hippolyte Girardot"
El tiempo entre costuras,(2013–2014),"
Adventure, Drama, History            ",8.3,"
Sira Quiroga is a young Spanish dressmaker engaged to a solid suitor when a suave typewriter salesman upends her life. Spain is being upended by a civil war and the new regime's growing ...                See full summary »
","3,876",853.0,,2020-02-04 18:02:03.477232407, Legendary Entertainment	,116.0,,"Stars:
Adriana Ugarte, 
Mari Carmen Sánchez, 
Tristán Ulloa, 
Francesc Garrido"
Penguin Town,(2021– ),"
Documentary, Family            ",8.0,"
In a picturesque South African town, an eclectic group of endangered penguins flock together to find mates, raise families and mix with the locals.",539,,,2020-02-04 18:27:44.813719692,   Walt Disney Pictures	,29.0,,"Star:
Patton Oswalt"
The Defiant Ones,(2017),"
Documentary, Biography, Crime            ",8.5,"
""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","12,686",60.0,,2020-02-04 18:53:26.150206978,	Warner Bros.  ,5.0,,"Stars:
Bono, 
Dr. Dre, 
Jimmy Iovine, 
Janet Mormile"
The Most Hated Woman in America,(2017),"
Biography, Drama, History            ",6.1,"
The life of Madelyn Murray O'Hair, the outspoken activist and founder of American Atheists.","5,968",91.0,,2020-02-04 19:19:07.486694264,20th Century Fox	,106.0,"Director:
Tommy O'Haver",
Shinya shokudô,(2009–2014),"
Drama            ",8.6,"
Shinya Shokudo is a tv series from Japan since 2009. It tells many stories about ordinary people eat in shinya shokudo, which means a restaurant at midnight. This small restaurant opens from 12 in the evening to 7 in the morning.","1,680",24.0,,2020-02-04 19:44:48.823181549,Universal Pictures	,59.0,,"Stars:
Kaoru Kobayashi, 
Mansaku Fuwa, 
Toshiki Ayata, 
Shôhei Uno"
Inside Job,(2021– ),"
Animation, Comedy            ",,"
For employees of the Deep State, conspiracies aren't just theories they're fact. And keeping them a secret is a full-time job.",,,,2020-02-04 20:10:30.159668835,20th Century Fox	,149.0,,"Stars:
Will Blagrove, 
Tisha Campbell, 
Lizzy Caplan, 
Andrew Daly"
Joshua,(2007),"
Drama, Horror, Thriller            ",5.9,"
The arrival of a newborn girl causes the gradual disintegration of the Cairn family; particularly for 9-year-old Joshua (Kogan), an eccentric boy whose proper upbringing and refined tastes both take a sinister turn.","12,266",106.0,$0.48M,2020-02-04 20:36:11.496156121,  Columbia Pictures	,57.0,"Director:
George Ratliff",
Haters Back Off!,(2016–2017),"
Comedy, Drama, Family            ",6.0,"
The odd ball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.","6,956",30.0,,2020-02-04 21:01:52.832643406, Legendary Entertainment	,77.0,,"Stars:
Colleen Ballinger, 
Angela Kinsey, 
Francesca Reale, 
Erik Stocklin"
I Am a Killer,(2018–2020),"
Documentary, Crime            ",7.4,"
Follows Death Row inmates, who tell the story of how they ended up there.","3,524",52.0,,2020-02-04 21:27:34.169130692,20th Century Fox	,124.0,,"Stars:
Swaylee Loughnane, 
Reece Putinas, 
David Galea, 
Deandra Buchanan"
Berserk: Ougon Jidai-hen I - Haou no Tamago,(2012),"
Animation, Action, Adventure            ",7.6,"
He trusts no one, only his sword.","11,327",76.0,,2020-02-04 21:53:15.505617977,  Columbia Pictures	,49.0,"Director:
Toshiyuki Kubooka",
The Knight Before Christmas,(2019),"
Adventure, Comedy, Drama            ",5.6,"
A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.","15,522",92.0,,2020-02-04 22:18:56.842105263,Marvel Studios,89.0,"Director:
Monika Mitchell",
The Returned,(2015),"
Drama, Fantasy, Horror            ",7.1,"
A small town's residents are stunned when recently deceased locals begin returning from the dead. What should be a miracle soon becomes a nightmare.","11,602",42.0,,2020-02-04 22:44:38.178592549,   Walt Disney Pictures	,34.0,,"Stars:
Kevin Alejandro, 
Agnes Bruckner, 
India Ennenga, 
Sandrine Holt"
One Piece,,"
Action, Adventure, Fantasy            ",,"
In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King and to discover the mythical treasure One Piece.",,,,2020-02-04 23:10:19.515079834,Marvel Studios,144.0,,
Shinibsagwan Goohaeryung,(2019),"
Drama, History, Romance            ",8.2,"
Set in the early 19th century. Goo Hae Ryung works as a historian. Female historians like Goo Hae Ryung are generally looked down upon because of their gender. Yet, Goo Hae Ryung fulfills ...                See full summary »
","1,391",35.0,,2020-02-04 23:36:00.851567120, Legendary Entertainment	,133.0,,"Stars:
Shin Se-Kyung, 
Cha Eun-Woo, 
Ji-Hoon Lee, 
Gi-woong Park"
Twilight of the Gods,,"
Animation, Action, Adventure            ",,"
Add a Plot
",,,,2020-02-05 00:01:42.188054406,  Columbia Pictures	,119.0,,"Stars:
Pilou Asbæk, 
Jamie Chung, 
Jamie Clayton, 
Lauren Cohan"
The InBESTigators,(2019– ),"
Comedy, Crime, Family            ",8.1,"
When Maudie, a ten-year-old puzzle prodigy, forms a detective agency with her classmates Ezra, Ava and Kyle, no crime is left unsolved.",568,,,2020-02-05 00:27:23.524541691,Universal Pictures	,81.0,,"Stars:
Abby Bergman, 
Anna Cooke, 
Aston Droomer, 
Jamil Smyth-Secka"
Merlí,(2015–2018),"
Comedy, Drama, Romance            ",8.6,"
TV series about a high school philosophy teacher, Merlí, who teaches in an original way, and about the students of his class, including his own son, and the relationship, friendship, love, and problems among the students of the class.","7,545",58.0,,2020-02-05 00:53:04.861028977,	Warner Bros.  ,128.0,,"Stars:
Francesc Orella, 
Pere Ponce, 
Carlos Cuevas, 
Marta Marco"
Le jeu,(2018),"
Comedy, Drama            ",6.8,"
3.5 couples meet for dinner party. The men have known each other for decades. During dinner they play a game of sharing texts, calls, e-mails etc. by placing all 7 cell phones on the table. Unexpected results as all have secrets.","13,364",90.0,,2020-02-05 01:18:46.197516262, Legendary Entertainment	,103.0,"Director:
Fred Cavayé",
The Perfect Host,(2010),"
Comedy, Crime, Thriller            ",6.8,"
An on-the-run convict looking for temporary cover finds it at the house of a very colorful character.","26,028",93.0,$0.05M,2020-02-05 01:44:27.534003548,   Walt Disney Pictures	,56.0,"Director:
Nick Tomnay",
Ya no estoy aqui,(2019),"
Drama            ",7.3,"
In Monterrey, Mexico, a young street gang spends their days dancing to slowed-down cumbia and attending parties. After a mix-up with a local cartel, their leader is forced to migrate to the U.S. but quickly longs to return home.","6,672",112.0,,2020-02-05 02:10:08.870490834,   Walt Disney Pictures	,113.0,"Director:
Fernando Frias",
Hitler's Circle of Evil,(2018),"
Documentary, Biography, History            ",8.0,"
This is the story of the rise and fall of the Third Reich told like the drama it really was: through the personal relationships of the movers and shakers of the Nazi Party.","3,579",52.0,,2020-02-05 02:35:50.206978119,   Walt Disney Pictures	,106.0,,"Stars:
Jonathon Michaels, 
Alisdair Simpson, 
Guy Walters, 
Michael Lynch"
Talking Tom and Friends,(2014– ),"
Animation, Action, Adventure            ",6.3,"
Armed with tech gear, awesome ideas, and an unfailing sense of humor, Talking Tom and Friends are on a mission to make their dreams come true. Although things never entirely turn out the way they plan, this incredible group is destined to warm hearts - and break a funny bone or two - along the way.",337,11.0,,2020-02-05 03:01:31.543465405,  Paramount Pictures,121.0,,"Stars:
Tom Kenny, 
Colin Hanks, 
James Adomian, 
Lisa Schwartz"
Herushingu,(2001–2002),"
Animation, Action, Fantasy            ",7.9,"
A British taskforce, lead by the daughter of the vampire hunter Prof. Van Helsing, battles the supernatural with the aid of two vampires.","15,227",23.0,,2020-02-05 03:27:12.879952691,    RatPac-Dune Entertainment	,84.0,,"Stars:
Jôji Nakata, 
Yoshiko Sakakibara, 
Fumiko Orikasa, 
Steven Brand"
The Body,(II) (2019),"
Mystery, Thriller            ",5.4,"
When the body of a powerful businesswoman disappears from the morgue, the inspector in charge hunts for the truth. But when he questions her husband he realizes that there is much more to the case than meets the eye.","3,062",101.0,,2020-02-05 03:52:54.216439976,Universal Pictures	,64.0,"Director:
Jeethu Joseph",
Ai-naki mori de sakebe,(2019),"
Crime, Drama, Horror            ",6.3,"
A small group of student filmmakers and a shy young girl with strict parents are simultaneously manipulated, seduced and abused by an older man. They follow his bidding, even when murder is involved.","2,147",151.0,,2020-02-05 04:18:35.552927262,  Paramount Pictures,6.0,"Director:
Sion Sono",
Free!,(2013– ),"
Animation, Comedy, Drama            ",7.4,"
Free! revolves around members of a high school boy's swimming team. Four boys-Haruka, Makoto, Nagisa and Rin-all participated in a swimming tournament shortly before graduating elementary ...                See full summary »
","2,630",24.0,,2020-02-05 04:44:16.889414548,	Warner Bros.  ,49.0,,"Stars:
Jamie Marchi, 
Johnny Yong Bosch, 
Akeno Watanabe, 
Nobunaga Shimazaki"
Special Correspondents,(2016),"
Comedy            ",5.8,"
A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.","21,512",101.0,,2020-02-05 05:09:58.225901833,   Walt Disney Pictures	,127.0,"Director:
Ricky Gervais",
The Bletchley Circle: San Francisco,(2018),"
Crime, Drama, Mystery            ",6.9,"
Two female British code breakers team with American cryptographers to solve a series of murders in San Francisco.","2,072",45.0,,2020-02-05 05:35:39.562389119,Relativity Media,46.0,,"Stars:
Crystal Balint, 
Rachael Stirling, 
Chanelle Peloso, 
Julie Graham"
El robo del siglo,(2020),"
Crime, Drama, Thriller            ",7.3,"
TV series follows the robbery of Colombia's central bank in October 1994 when a thieves made off with $33million.","2,222",,,2020-02-05 06:01:20.898876404, Legendary Entertainment	,136.0,,"Stars:
Andrés Parra, 
Christian Tappan, 
Waldo Urrego, 
Marcela Benjumea"
R.L. Stine's Monsterville: Cabinet of Souls,(2015 TV Movie),"
Comedy, Fantasy, Horror            ",5.7,"
Teenage friends must resist the spell of an evil showman staging a house of horrors show in their small town.","2,000",86.0,,2020-02-05 06:27:02.235363690,  Paramount Pictures,1.0,"Director:
Peter DeLuise",
Kiss Me First,(2018),"
Drama, Mystery, Sci-Fi            ",6.3,"
A lonely video game addict new to the online world of Azana meets a confident party girl with a dark secret.","3,645",46.0,,2020-02-05 06:52:43.571850976,20th Century Fox	,98.0,,"Stars:
Tallulah Haddon, 
Simona Brown, 
Matthew Beard, 
Freddie Stewart"
Marfa Girl,(2012),"
Drama            ",5.2,"
A story centered on a directionless 16-year-old living in Marfa, Texas and his relationships with his girlfriend, his neighbor, his teacher, a newly arrived local artist, and a local Border Patrol officer.","1,561",105.0,,2020-02-05 07:18:24.908338261,20th Century Fox	,25.0,"Director:
Larry Clark",
Rebirth,(I) (2016),"
Thriller            ",5.0,"
He's a family man headed for a weekend of self-discovery. But it's about to turn into a nightmare with no escape.","4,772",100.0,,2020-02-05 07:44:06.244825547,    RatPac-Dune Entertainment	,126.0,"Director:
Karl Mueller",
Mindhorn,(2016),"
Comedy, Thriller            ",6.3,"
A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person.","11,856",89.0,,2020-02-05 08:09:47.581312833,  Columbia Pictures	,148.0,"Director:
Sean Foley",
Much Loved,(2015),"
Drama            ",6.2,"
A group of women in Morocco make a living as prostitutes in a culture that is very unforgiving toward women in that profession.","2,535",104.0,,2020-02-05 08:35:28.917800118,  Paramount Pictures,46.0,"Director:
Nabil Ayouch",
Bombam,(2019– ),"
Drama, Romance            ",7.9,"
A couple in their 30s has dated for many years. When they begin to discuss marriage, they begin to look upon their relationship in a different light.","1,739",35.0,,2020-02-05 09:01:10.254287404,Universal Pictures	,6.0,,"Stars:
Jung Hae-In, 
Han Ji-min, 
Jun-han Kim, 
Yi-An Ha"
Fun Mom Dinner,(2017),"
Comedy            ",5.3,"
Four moms whose only common ground is their kids' preschool class, decide to get together for a harmless ""fun mom dinner.""","5,222",81.0,,2020-02-05 09:26:51.590774689,20th Century Fox	,101.0,"Director:
Alethea Jones",
Il processo,(2019– ),"
Crime            ",7.0,"
A group of characters is implicated in the murder of Angelica. They all walk on a razor's edge searching for the truth, waiting for a verdict, which will establish, in a way or another, a new course for their lives.","2,545",52.0,,2020-02-05 09:52:32.927261975,   Walt Disney Pictures	,72.0,,"Stars:
Vittoria Puccini, 
Francesco Scianna, 
Camilla Filippi, 
Simone Colombari"
Darwin's Game,(2020– ),"
Animation, Action, Drama            ",7.3,"
An unknowing Sudou Kaname is invited to try out a new mysterious mobile app game called Darwin's Game, but later realizes that he's in for more than he's bargained for when he finds out that there's no way to quit the game.","1,344",23.0,,2020-02-05 10:18:14.263749261, Legendary Entertainment	,107.0,,"Stars:
Yûsuke Kobayashi, 
Alexis Tipton, 
Reina Ueda, 
Tia Lynn Ballard"
Quien a hierro mata,(2019),"
Action, Drama, Thriller            ",6.6,"
A drug dealer looking for rest. A nurse looking for revenge. A crossroads where no one is safe.","6,591",107.0,,2020-02-05 10:43:55.600236546,  Columbia Pictures	,49.0,"Director:
Paco Plaza",
Hanma Baki: Son of Ogre,(2021– ),"
Animation, Action, Drama            ",,"
'Son of Ogre' The sequel to the BAKI Netflix series, where Baki Hanma a young and extremely powerful fighter, fights through a heard of worthy adversary's all throughout the series then ...                See full summary »
",,,,2020-02-05 11:09:36.936723832,  Columbia Pictures	,22.0,,"Stars:
Nobunaga Shimazaki, 
Megumi Han, 
Takaya Hashi, 
Akio Ôtsuka"
Blood & Water,(2020– ),"
Drama, Mystery            ",6.4,"
A local teen uncovers her family's secret past and navigates the complicated world of a South African high school.","2,080",53.0,,2020-02-05 11:35:18.273211118,20th Century Fox	,57.0,,"Stars:
Ama Qamata, 
Khosi Ngema, 
Gail Mabalane, 
Thabang Molaba"
The Mother,(2022),"
Action, Thriller            ",,"
Female-led action thriller.",,,,2020-02-05 12:00:59.609698403,Relativity Media,1.0,"Director:
Niki Caro",
Homemade,(I) (2020– ),"
Drama            ",6.0,"
Confined at home as a consequence of the COVID-19 outbreak, filmmakers created personal, moving stories that capture our shared experience of life in quarantine.",692,138.0,,2020-02-05 12:26:40.946185689,  Paramount Pictures,79.0,,"Stars:
Christopher Abbott, 
Kumiko Kaur Chadha Berges, 
Cate Blanchett, 
Javier Cámara"
Saving Zoë,(2019),"
Crime, Drama, Mystery            ",5.3,"
The high school freshman kid sister of the murdered Zoë finds her diary, which sheds new light on the murder missed by the police. She investigates.","1,787",95.0,,2020-02-05 12:52:22.282672974,  Paramount Pictures,126.0,"Director:
Jeffrey G. Hunt",
Akelarre,(2020),"
Adventure, Drama, History            ",6.3,"
Basque Country, 1609. The men of the region are at sea and Amaia takes part for the first time in the nightly dances in the woods with the other villager girls. She is only 20. At dawn, they are all arrested.","3,610",92.0,,2020-02-05 13:18:03.619160260, Legendary Entertainment	,21.0,"Director:
Pablo Agüero",
Dérapages,(I) (2020– ),"
Drama, Thriller            ",7.2,"
Alain Delambre is a senior executive worn out and humiliated by six years of unemployment. So when a prestigious company selects him as a candidate, he is prepared to betray his wife, steal...                See full summary »
","3,340",52.0,,2020-02-05 13:43:44.955647546,Marvel Studios,115.0,,"Stars:
Eric Cantona, 
Suzanne Clément, 
Alex Lutz, 
Gustave Kervern"
Rust Valley Restorers,(2018– ),"
Documentary            ",7.8,"
A restoration shop run by a team of colorful and charismatic characters use their impressive skills and experience to restore, trade and sell classic cars - transforming piles of rust into collectible car treasures.","2,373",38.0,,2020-02-05 14:09:26.292134831,Universal Pictures	,77.0,,"Stars:
Michael Daingerfield, 
Connor Hall, 
Mike Hall, 
Avery Shoaf"
Wormwood,(2017),"
Documentary, Biography, Drama            ",7.0,"
In 1953, Army scientist Frank Olson takes a fatal plunge from a hotel window. In 1975, a bombshell report ties his death to a top-secret experiment.","3,870",241.0,,2020-02-05 14:35:07.628622117,    RatPac-Dune Entertainment	,15.0,,"Stars:
Peter Sarsgaard, 
Molly Parker, 
Christian Camargo, 
Scott Shepherd"
Keizersvrouwen,(2019– ),"
Crime, Drama            ",6.2,"
Xandra lives a safe life with her husband and daughter in Amsterdam. But Xandra aches for more excitement in her life. She is tempted to once again become involved with her old life when she's secretly offered a challenge.",749,47.0,,2020-02-05 15:00:48.965109403,20th Century Fox	,107.0,,"Stars:
Karina Smulders, 
Susan Radder, 
Matteo van der Grijn, 
Kit Sheehan"
Ghost Wars,(2017–2018),"
Drama, Fantasy, Horror            ",6.3,"
A remote Alaskan town that has been overrun by paranormal forces. Local outcast Roman Mercer must overcome the town's prejudices and his own personal demons if he's to harness his repressed psychic powers and save everyone.","4,430",60.0,,2020-02-05 15:26:30.301596688,	Warner Bros.  ,22.0,,"Stars:
Avan Jogia, 
Kim Coates, 
Luvia Petersen, 
Jesse Moss"
S.W.A.T.: Firefight,(2011 Video),"
Action, Crime, Thriller            ",5.3,"
Detroit PD borrows an LA SWAT leader as instructor for 2 weeks training of their SWAT team. After a real SWAT action, a madman with special skills, obsessed with ""revenge"", is released on bail.","9,818",89.0,,2020-02-05 15:52:11.638083974,	Warner Bros.  ,116.0,"Director:
Benny Boom",
Jingle Jangle: A Christmas Journey,(2020),"
Family, Fantasy, Musical            ",6.5,"
An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.","16,081",122.0,,2020-02-05 16:17:52.974571260,Marvel Studios,145.0,"Director:
David E. Talbert",
Mismatched,(2020– ),"
Comedy, Drama, Romance            ",5.5,"
The movie will be a romantic film featuring two people who are not right for each other. The story is about Prajakta's character who is a tech wizard and the guy who is interested in her.","3,261",30.0,,2020-02-05 16:43:34.311058545,	Warner Bros.  ,136.0,,"Stars:
Prajakta Koli, 
Rohit Saraf, 
Muskkaan Jaferi, 
Devyani Shorey"
Rosario Tijeras,(2016–2019),"
Action, Crime, Drama            ",6.2,"
The series tells the story of a warrior from one of the poorest and most dangerous neighborhoods in Mexico City, whose beauty and nobility contrast with the gray and desolate environment in...                See full summary »
",227,43.0,,2020-02-05 17:09:15.647545831,  Paramount Pictures,40.0,,"Stars:
Bárbara de Regil, 
Sebastian Martínez, 
Harold Azuara, 
José María de Tavira"
Boku wa tomodachi ga sukunai,(2011– ),"
Animation, Comedy, Drama            ",7.1,"
A friendless teenager, feared by his fellow classmates, joins a club hoping to finally make some friends.","1,975",25.0,,2020-02-05 17:34:56.984033116,Marvel Studios,11.0,,"Stars:
Ryohei Kimura, 
Marina Inoue, 
Kanae Itô, 
Jerry Jewell"
The Land of Steady Habits,(2018),"
Comedy, Drama            ",6.2,"
After leaving his wife and his job to find happiness, Anders befriends a drug-addicted teen, sending him down a path of reckless and shameful behavior.","6,916",98.0,,2020-02-05 18:00:38.320520402,Relativity Media,112.0,"Director:
Nicole Holofcener",
Open Season 2,(2008 Video),"
Animation, Adventure, Comedy            ",5.6,"
After falling head over hooves in love with Giselle, Elliot's road to the altar takes a slight detour when Mr. Weenie is kidnapped by a group of pampered pets determined to return him to his owners.","22,618",76.0,,2020-02-05 18:26:19.657007688,20th Century Fox	,52.0,"Directors:
Matthew O'Callaghan, 
Todd Wilderman",
The Scorpion King 3: Battle for Redemption,(2012 Video),"
Action, Fantasy            ",3.7,"
Since his rise to power, Mathayus' kingdom has fallen. Now an assassin for hire, he must defend a kingdom from an evil tyrant and his ghost warriors for the chance to regain the power and glory he once knew.","8,178",105.0,,2020-02-05 18:52:00.993494973,	Warner Bros.  ,55.0,"Director:
Roel Reiné",
Det som göms i snö,(2018– ),"
Crime, Drama, Mystery            ",7.4,"
After a long sick leave and recovery police detective Peter Wendel is back on duty. He is commissioned to form a new team to reopen unresolved murder cases, however he soon finds himself ...                See full summary »
","1,765",43.0,,2020-02-05 19:17:42.329982259,  Paramount Pictures,107.0,,"Stars:
Robert Gustafsson, 
Louise Peterhoff, 
Christopher Wagelin, 
Ia Langhammer"
Baekilui Nanggoonnim,(2018),"
Action, Comedy, History            ",7.7,"
Lee Yul falls off a cliff and nearly dies in an attempted assassination. He loses his memory and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.","1,328",75.0,,2020-02-05 19:43:23.666469545,Relativity Media,58.0,,"Stars:
Kyung-soo Do, 
Nam Ji-Hyun, 
Jo Sung-ha, 
Jo Han-chul"
12 Rounds 3: Lockdown,(2015),"
Action, Crime, Thriller            ",5.2,"
Upon returning to work after recovering from an injury, a police officer discovers and attempts to turn in incriminating evidence of illegal activities against his fellow cops.","4,021",90.0,,2020-02-05 20:09:05.002956830,    RatPac-Dune Entertainment	,36.0,"Director:
Stephen Reynolds",
Girlfriend's Day,(2017),"
Comedy, Drama            ",5.2,"
A now down-on-his-luck romance card writer, Ray Wentworth, decides to recapture the feelings that once made him the greatest with the creation of a new holiday: Girlfriend's Day.","3,707",65.0,,2020-02-05 20:34:46.339444116,20th Century Fox	,144.0,"Director:
Michael Paul Stephenson",
